providr	id                                              date/knowledge_cutoff   context         modality                                pricing prompt/completion per 1K        supported_parameters
mistral	magistral-medium-latest                         2026-07-12/?            131K            completion_chat                         nan/nan                                 function_calling,reasoning    
mistral	magistral-small-latest                          2026-07-12/?            262K            completion_chat                         nan/nan                                 function_calling,reasoning    
mistral	magistral-small-2509                            2026-07-12/?            131K            completion_chat                         nan/nan                                 function_calling,reasoning    
mistral	voxtral-small-2507                              2026-07-12/?            32K             completion_chat                         nan/nan                                 function_calling              
mistral	voxtral-small-latest                            2026-07-12/?            32K             completion_chat                         nan/nan                                 function_calling              
mistral	labs-leanstral-1-5-1                            2026-07-12/?            262K            completion_chat                         nan/nan                                 function_calling,reasoning    
mistral	labs-leanstral-1-5                              2026-07-12/?            262K            completion_chat                         nan/nan                                 function_calling,reasoning    

naga	llama-4-scout-17b-16e-instruct:free             2025-05-25/?            327K            text|image->text                        free                                    tools                         
github	meta/llama-4-maverick-17b-128e-instruct-        1/?                     1000K           text|image -> text                      free                                    agents,streaming,tool-calling 
github	meta/llama-4-scout-17b-16e-instruct             2/?                     10000K          text|image -> text                      free                                    agents,streaming,tool-calling 
naga	llama-3.3-70b-instruct:free                     2025-06-01/?            128K            text->text                              free                                    tools                         
oprout	meta-llama/llama-3.3-70b-instruct:free          2024-12-06/2023-12-31   131K            text->text                              free                                    tools                         
github	meta/llama-3.3-70b-instruct                     8/?                     128K            text -> text                            free                                    streaming                     
github	meta/llama-3.2-90b-vision-instruct              5/?                     128K            text|image|audio -> text                free                                    streaming                     
github	meta/llama-3.2-11b-vision-instruct              6/?                     128K            text|image|audio -> text                free                                    streaming                     
oprout	meta-llama/llama-3.2-3b-instruct:free           2024-09-25/2023-12-31   131K            text->text                              free                                    -                             
github	meta/meta-llama-3.1-405b-instruct               1/?                     131K            text -> text                            free                                    agents                        
github	meta/meta-llama-3.1-8b-instruct                 5/?                     131K            text -> text                            free                                    streaming                     

github	microsoft/phi-4                                 8/?                     16K             text -> text                            free                                    -                             
github	microsoft/phi-4-mini-instruct                   1/?                     128K            text -> text                            free                                    -                             
github	microsoft/phi-4-mini-reasoning                  1/?                     128K            text -> text                            free                                    reasoning                     
github	microsoft/phi-4-multimodal-instruct             2/?                     128K            audio|image|text -> text                free                                    streaming                     
github	microsoft/phi-4-reasoning                       1/?                     32K             text -> text                            free                                    reasoning,streaming  

naga	sonar:free                                      2025-05-26/?            127K            text->text                              free                                    -                             
github	cohere/cohere-command-a                         3/?                     131K            text -> text                            free                                    -                             
oprout	cohere/north-mini-code:free                     2026-06-17/?            256K            text->text                              free                                    reasoning,seed,tools          

oprout	openrouter/free                                 2026-02-01/?            200K            text+image->text                        free                                    reasoning,seed,tools          

oprout	tencent/hy3:free                                2026-07-06/?            262K            text->text                              free                                    reasoning,seed,tools          
oprout	poolside/laguna-xs-2.1:free                     2026-07-02/?            262K            text->text                              free                                    reasoning,tools               
oprout	poolside/laguna-m.1:free                        2026-04-28/?            262K            text->text                              free                                    reasoning,tools               
oprout	liquid/lfm-2.5-1.2b-thinking:free               2026-01-20/?            32K             text->text                              free                                    reasoning,seed,tools          
oprout	liquid/lfm-2.5-1.2b-instruct:free               2026-01-20/?            32K             text->text                              free                                    seed                          
oprout	cognitivecomputations/dolphin-mistral-24        2025-07-09/2024-04-30   32K             text->text                              free                                    -                             
oprout	nousresearch/hermes-3-llama-3.1-405b:fre        2024-08-16/2023-12-31   131K            text->text                              free                                    -     

hubmix	coding-glm-5.2-free                             ?/?                     ?               text->                                  free                                    -                             
hubmix	coding-glm-5.1-free                             ?/?                     ?               text->                                  free                                    -                             
hubmix	coding-glm-5-free                               ?/?                     ?               text->                                  free                                    -                             
hubmix	coding-glm-5-turbo-free                         ?/?                     ?               text->                                  free                                    -                             
hubmix	coding-glm-4.7-free                             ?/?                     ?               text->                                  free                                    -                             
cerebr	zai-glm-4.7                                     ?/?                     ?                                                       nan/nan                                 -         
hubmix	coding-glm-4.6-free                             ?/?                     200K            text->                                  free                                    -                             
pateway	glm-5.2                                         ?/?                     ?                                                       nan/nan                                 -                             
pateway	glm-5.1                                         ?/?                     ?                                                       nan/nan                                 -                             
pateway	glm-5                                           ?/?                     ?                                                       nan/nan                                 -                             
hubmix	glm-4.7-flash-free                              ?/?                     ?               text->                                  free                                    -                             

hubmix	coding-minimax-m3-free                          ?/?                     204K            text->                                  free                                    -                             
hubmix	coding-minimax-m2.7-free                        ?/?                     204K            text->                                  free                                    -                             
hubmix	coding-minimax-m2.5-free                        ?/?                     204K            text->                                  free                                    -                             
hubmix	coding-minimax-m2.1-free                        ?/?                     204K            text->                                  free                                    -                             
hubmix	coding-minimax-m2-free                          ?/?                     204K            text->                                  free                                    -                             

hubmix	xiaomi-mimo-v2.5-pro-free                       ?/?                     256K            text,image,video,audio->                free                                    -                             
hubmix	xiaomi-mimo-v2.5-free                           ?/?                     256K            text,image,video,audio->                free                                    -                             
hubmix	xiaomi-mimo-v2-pro-free                         ?/?                     256K            text,image,video,audio->                free                                    -                             
hubmix	xiaomi-mimo-v2-omni-free                        ?/?                     256K            text,image,video,audio->                free                                    -                             
hubmix	mimo-v2-flash-free                              ?/?                     256K            text->                                  free                                    -                             

hubmix	k2.6-code-preview-free                          ?/?                     256K            text->                                  free                                    -                             
hubmix	kimi-for-coding-free                            ?/?                     256K            text->                                  free                                    -                             

groq	whisper-large-v3                                2023-09-03/?            0K                                                      nan/nan                                 -                             
groq	allam-2-7b                                      2025-01-23/?            4K                                                      nan/nan                                 -                             
groq	whisper-large-v3-turbo                          2024-10-08/?            0K                                                      nan/nan                                 -                             
groq	groq/compound-mini                              2025-09-04/?            131K                                                    nan/nan                                 -                             
groq	groq/compound                                   2025-09-04/?            131K                                                    nan/nan                                 -                             

